comments,predicted_sentiment
"misal gibran tidak diangkat jadi cawapres, apakah putusan MK ini bisa digugat lagi ? maaf ga taw hukum",positive
"Wajah deso itu ""gak jaminan""",negative
"Merubah Undang Undang hanya oleh beberapa orang, Gila negara sebaiknya bubar saja.",positive
"Berkeping keping menyatu menjadi kebenaran, jaman edan mbk nana ",positive
Inilah strategi  Jokowi sebenarnya,positive
kita akan memilih pemimpin untuk mengayomi 275 juta rakyat indonesia untuk 5-10  tahun mendatang. salah memilih pemimpin akan berdampak besar bukan hanya 5-10 tahun di era kepemimpinannya...tapi ditahun-tahun berikutnya. rakyatlah yang akan merasakan hasilnya.,positive
Zainal arifin muctar pakar hukum. Guru besar UGM  ber komentar. Keputusa  MK. Beroba roba prof saja. Bingung pemilu 2024???!?,positive
"Betul mas, makanya MK sdh gak bisa dipercaya lg, karena MK sdh milik keluarga jokowi bukan Mahkamah Konstitusi",negative
Tanda tanda jaman KALIYUGA ( Jaman KEGELAPAN) seperri ramalan didlm HINDU,positive
Soekano : bapak proklamator Suharto : bapak pembangunan Habibi : bapak teknologi Gusdur : bapak purwalisme Megawati : ibu jual aset negara SBY : Bapak bijaksana Jokowi : BAPAK DINASTI POLITIK,positive
18:37,negative
"mahkamah keluaga mengalahkan segalanya  demi kekusaan 7:17 , urusan kepentingan keponakan mgancaukan kontitusi negara , ada invicilble hand ..dari kroni  wowo  /jokowi dkk .. sehingga ke depan mk tidak di percaya lagi  kslo ada komplik sengketa pilpres , pilkada .. dalam setiap perjusngan selalu ada penghianatan .. miris  kami adalah relawan jokowi 2014-2019 .. sudah tdk respek lagi  thd klg jokowi",negative
"wah ngeri sekali berati klu prabowo dan jokowi ada di belakang nya yg jls. klu gt kita seperti mau kembali ke jaman orba klu btl kasiham skl darah dan nyawa para mahasiswa yg menjadi korban di th 98, miris skl",negative
Kami orang awam sebagian besar tidak tau masalah hukum.Tapi anak SMP saja tau bahwa itu politik DINASTI. Terus bagaimana tanggapan para BAPAK -BAPAK HAKIM bahkan mungkin ada yg sudah bergelar profesor.menaghadapai kenyataan ini. Pertanya'an nya...??? Apakah mereka akan menjadikan . Persoalan ini LOLOS. Sebab jika persoalan ini di biarkan LOLOS. Tidak menutup kemungkinan. Apabila ada persoalan lain akan RUSAK. Sebab sebuah keputusan itu tidak hanya untuk satu MASALAH.,positive
karena kesalahan kebijakan yang dengan sengaja maka Lurah di Negeri wakanda sudah Layak untuk di Turunkan paksa cerita akal busuk sudah puluhan bahkan bukti banyak yang diketahui Publik namun tak ada satupun yang menjadi pertimbangan bagi penguasa jadi layak di Lengserkan.,negative
"Mantap keren abis salam sukses selalu untuk kita semua aaminnn,",positive
Sebenarnya Gampang dan sangat mudah melihat Cara yang di lakukan oleh kepemimpinan Lurah Wakanda kelasnya baru Lurah tapi sudah di Orbitkqn jadi Orang No Satu makanya brantakan dan amburadul karena kebodohan yang tidak di sadarinya demi mendapat mimpinya,positive
nyoh. tuh sesembahanmu !,positive
"Semoga SJ Jokowi ,mau sadar,tau diri ,Negara RI sngt bsr dn luas ,anggapan jkowi RI mlk Mbah nya jkowi.smua Rkyat ibarat nya patung SM Rbot .bgkar smua kbusukan slama JD presiden .mmang sdh bnyk yg Rsk aturan jkowi .",negative
"Semoga SJ Jokowi ,mau sadar,tau diri ,Negara RI sngt bsr dn luas ,anggapan jkowi RI mlk Mbah nya jkowi.smua Rkyat ibarat nya patung SM Rbot .bgkar smua kbusukan slama JD presiden .mmang sdh bnyk yg Rsk aturan jkowi .",negative
"Semoga SJ Jokowi ,mau sadar,tau diri ,Negara RI sngt bsr dn luas ,anggapan jkowi RI mlk Mbah nya jkowi.smua Rkyat ibarat nya patung SM Rbot .bgkar smua kbusukan slama JD presiden .mmang sdh bnyk yg Rsk aturan jkowi .",negative
"Semoga SJ Jokowi ,mau sadar,tau diri ,Negara RI sngt bsr dn luas ,anggapan jkowi RI mlk Mbah nya jkowi.smua Rkyat ibarat nya patung SM Rbot .bgkar smua kbusukan slama JD presiden .mmang sdh bnyk yg Rsk aturan jkowi .",negative
"Semoga SJ Jokowi ,mau sadar,tau diri ,Negara RI sngt bsr dn luas ,anggapan jkowi RI mlk Mbah nya jkowi.smua Rkyat ibarat nya patung SM Rbot .bgkar smua kbusukan slama JD presiden .mmang sdh bnyk yg Rsk aturan jkowi .",negative
WAJAR SIH KETUA MK KAN IPARNYA FUCKDE & OMNYA SI BOCIL!,negative
"Kalo ngak salah jokowi dlu pernah berkata (ktika menjbat sbg gub dki) yg kurang lebih... 'saya tidak akan maju pilpres sebelum menuntaskan jbatan sbg gub dki jakarta'... Tp pd khirnya doi maju juga... Dan itu menjdi tolak ukur sya untk tidak memilihnya, bhkan juga untk periide yg ke 2... Wlaupun dibela2in masuk ke gorong2 blusukan.. Yaah, sya fikir juga smua gitu kalau sdh wktnya pencoblosan... Pada suka caper kalo ada maunya... ",positive
"Hati2 Pak Prabowo menggandeng Gibran, terlanjur dilabelin sebagai penerus dinasi. Anies for president 2024",negative
"Kekuasaan apa bila dipegang olh org yg tdk berintrigitas... Maka,...",positive
Gibran cocoknya jadi ketua karang taruna kl untuk negara blm mampu,positive
Puncak ke jijik an sih klo menurut saya ,negative
"PERSPEKTIF HUKUM BUKANLAH SATU-SATUNYA. Putusan MK sesungguhnya bisa dilihat dari berbagai perspektif. Saya mencoba mengangkat dua perpsektif saja. Pertama, sebagai wujud kolusi politik dinasti. Dl perpsektif ini, kita perlu menyimak proses implementasinya. KPU masih harus mengamandemen UU Pemliu setelah berdiskusi dengan DPR. Karena DPR sedang reses maka agenda KPU pasti mundur. Dus akan melewati deadline deklarasi. MK pasti paham proses spt iini. Jadi kemungkinan kolusi politik dinasti sangat kecil validitasnya. Kedua, sebagai wujud kepedulian terhadap kebugaran paslon. Dalam kasus capres sudah tua usia yang mana segala kapasitasnya telah menurun maka terlalu berisiko memimpin bangsa dan negara. Dalam konteks demikian, putusam MK bermakna sebagai pemberian peluang solusi. Tidak hanya di era sekarang tetapi juga berlaku ke era-era mendatang. Tidak hanya Gibran yang teruntungkan tetapi siapa saja yang memenuhi kriteria. Kita tidk boleh tutup mata bahwa era sekarang adalah era revolusi ekonomi ke arah digitalisasi yang masih akan terus berinovasi.  Risikonya terlampau besar jika kita tertinggal mengelolanya. Sebut saja manipulasi pajak, pencucian uang, penjajahan terselubung, penipuan, kekacauan asumsi-asum ekonomi dlm kaitannya dengan perumusan kebijakan ekonomi moneter dan fiskal. Fenomena demikian mutlak membutuhkan kebugaran nahkoda. Dari perspektif ini,  materi putusan MK justru patut diapresiasi. Yang patut dipersoalkan hanya kewenangannya. Artinya, putusan boleh saja dicabut oleh MK sendiri, namun substansinya harus diadopsi KPU",negative
"Opini sy, si doi tahu itu akan ditentang masyarakat dan academisi tp strategi ini sengaja diterapkan agar : 1. Anaknya tdk akan maju jd capres  2024 walo sdh ada kesempatan (menurut si itu ) krn tujuannnya agar bisa membuat masyarakat bersimpati u/ rencana pencalonan ke pilkada gubernur konoha 2024 2. Apakah ini kesengajaan untuk membuat carut marut konoha agar bisa 3 periode ?",negative
Mumpung berkuasa...mahkamah keluarga,positive
Apa yg bisa kita lakukan sebagai masyarakat untuk memperbaiki kondisi ini?,positive
"Kalo memang pdip tdk pura2 marah ke jkw dan bermain politik drama dg jkw, ya buktikan aja dg inisiasi impeachment  aja krn dah jelas ada penghancuran marwah hukum beserta perangkatnya di nkri",negative
"Rezim kardus digembok, jika pejabat melanggar hukum, hukumnya yg di ubah bkn mencopot jabatan org nya. Lucu.....semua hrs sesuai penguasa kodok",negative
Gwe berharap gibran cawapres sih biar kita bisa tau klakuan jokowi sprt apa Apa benar dia negarawan ato g beda dgn orba cendana yg penuh dgn KKN,positive
semoga tidak ada kang bakso depan narasi ,negative
"Wes ajor2,makin ruwet pokoe",positive
"Belum lama pernah ada tim yang dibentuk untuk reformasi hukum oleh MMD kalau tidak salah, itu tujuannya untuk apa ya?",positive
"Gibran harus menolak pinangan dari Prabowo sebagai cawapres, supaya putusan ma bisa di kembalikan ke yg membuat uud",positive
Indonesia bubar setelah pemilu 2024. Karena palu pengadil sengketa pemilu sudah hancur berkeping.,positive
"Sepertinya Jokowi sengaja, video ini seakan-akan sebuah bocoran yang sengaja disampaikan dari proses yang terjadi. Benar-benar beliau yang mulia pak Jokowi seakan mengarahkan pilihan orang pada 1 kandidat saja, bgtu juga semua media diatur untuk itu, satu calon yang sepertinya didukung jg oleh channel ini.. Kalo beliau menang, saya akan bilang pak Jokowi adalah seorang negarawan. ",positive
Prof Uceng.. sehat selalu,positive
"inilah panggung sandiwara, pemerannya jelas,sekenarionya arogan,judul sandiwara nya serba instan.episodenya pendek, dimenangkan, dilantik,dapat gaji dech.",negative
HUKUM KARMA. KEBAIKAN DAN KECURANGAN AKAN MENDAPAT PAHALANYA,negative
"terimakasih MK, jd makin yakin pilih Amin",positive
Dan aku sangat heran dg pemimpin saat ini knpa tidak ada yg mampu melawan. Hebatnya apa sih.. knyataanya juga hanya mnambah hutang negara saja.,negative
"And jokiwi be like: ""Tanyakan saja langsung ke MK, ya gaes...""",positive
"Si paling Ketum yg katanya anti disetir, tapi mutus pasangan bacawapres aja gak putus2. Anti setir? IYA DEH!",negative
Wah wah klu MK bs mengatur sesuai pesanan bubarkan saja MK tdk berguna membuat resah masyarakat aturan dirubah ruba,positive
Angakt kasus jesica mirna yg sedang di up lagi ke media. Usut tuntas seperti dulu kasus FS,negative
Tau diri & tak tau balas budi,negative
"Sangat jauh peran Jokowi dlm menentukan capres dan cawapres. Bukti para ketum partai di luar PDIP, tunduk pada ke inginan Jokowi. Semua ketum partai tersandera dgn berbagai kasus yang sengaja di biarkan, dan inilah yang membuat Para petinggi partai harus tunduk pada Jokowi kalo tidak ingin berurusan dengan hukum. Bukti lihat NASDEM",negative
"Putusan MK itu tanggung . Klo saya berpendapat bhw seharusnya justru batas usia itu dihapus , karena masih mengandung diskriminasi . Karena tak ada jaminan bhw usia itu menentukan kwalitas . Tetapi jangan diberkakujan sekarang , tapi untuk th 2029 . Nah tetapi mungkin , nanti yg mengbah uu nya tetap DPR dan Presiden . Klo sekarang jika tuduhannya adalah ambisi jokowi , maka kuncinya , bila nyatanya gibran tak mau nyalon , dan jokowi juga tak merestui maka selesai , dan kegaduhan akan berhenti .",positive
"TAMBAH SATU LAGI BANG, YAITU ETIKABILITAS, agar tahu diri ",negative
Jokowi itu tdk cerdas menyelesaikan berbagai macam masalah tp Jokowi cerdik mengatur dinasti keluarganya spy keturunannya tetap berkuasa di Indonesia.,negative
sehoror hereditary,positive
"Sehari sebelum hakim MK memberikan putusan, barangkali ketua MK melakukan rapat bersama presiden di meja makan acara makan malam bersama keluarga Solo dan ketukan palu hakim ketua MK untuk memberi putusan menolak atau mengabulkan suatu perkara di MK terjadi malah lebih dulu di meja makan acara makan malam keluarga Solo daripada di meja hijau persidangan di MK.",positive
"Klu kepala hakim mahkamah keluarga jokowi itu Patah dan hancur berkeping keping baru  seluruh  hati rakyat  merasa puas,klu hanya palu nya yg patah bisa di ganti lgi.",negative
Kasian pak jokowi di fitnah kelompok wowo.. makanya pak jokowi jangan sering bergaul sama golongan wowo brutus orba,negative
"Jika gibran maju jadi   presiden maka : 1 prof . Yusril 2 jndrl susilo + anak nya 3 airlangga 4 erik tohir Sisanya tambah sendiri, pasti ada gejolak didalam hati yang membuat e Mereka merasa "" gua jadi prof, jendral, kuliah di luar negri , kalah sama anak presiden ",positive
MK ADALAH....... MAHKAMAH KELUARGA..,negative
"Pemerintah, memerintah hnyak-bnyak mengakomodasi kptngan pribadi dan golongan secara utuh. Kurang memikirkan kpntgan bangsa secara utuh dan berkelanjutan. Semoga ke depan terpilih pemimpin yg terbaik bg kptngan bangsa yg berkelanjutan",negative
"JIka aturan sebelumnya sudah disepakati, kemudian diubah dengan adanya kepentingan sesaat u pemilu, lalu dimana aturan yang pasti ? dan bisa memenuhi keadilan bagi semua warga negara",negative
"Sepertinya emang proyek-proyek rezim ini harus terus berjalan, prioritas pun tak berubah, berarti isu lingkungan dan ham bakalan tetep jadi lembar paling belakang",positive
Ko pak jokowi? Kan yg mengajukan PSI..? Ga usah Kemana2laahh.. Bikin ribet!,negative
"Jokowi jawa banged. Tutur kata manis, mukanya dipendem... dibelakang mah bisa beda. ",negative
"Mbak Nana tolong undang ke Mata Najwa dong mahasiswa yg kemarin mengajukkan Judicial Review ke MK,penasaran sejauh mana sih pengetahuannya tentang Hukum Tata Negara. Soalnya sekaliber RG,Refly Harun yang mengajukan Judicial review tentang PT 20% kalah sama mahasiswa tsbt. ",negative
Pak Jokowi jelang akhir Masa jabatan nya sebagai presiden Melebarkan sayap kekuasaan dgn Membangun Dinasti keluarga untuk CawE2 biar semua Anak dan Menatu nya dapat posisi Jabatan,negative
Kenapa cuma Jokowi yang diributin? DPR ke mana? Kenapa pada diam saja?,positive
 boom.. gmn pak jokowi.. apakah anda masih mau meneruskan semua ini. Klu emang masih.. apakah anda nga MALU. haha..,positive
Habis ini MK bubar,negative
ITU UTK MEYAKINKAN BAHWA PUTRA JOKOWI LEBIH PENGALAMAN DARI YG LAIN,negative
OP nih presiden,positive
MK membuktikan kalo materi trias politika di PKN itu ga ada,positive
"Itulah mengapa saya katakan, dr kamrin-kmarin priode ke 2 jokowi ini sudah sangat melenceng dr priode pertama. Apalagi sejak masuk nya partai gerindra dan pan ke dalam pemerintahan. Semakin rusak presiden. Lihat lah betapa banyak kebijakan uu yg di keluarkan, tanpa masukan rakyat.",negative
"Pertanyaannya : apa sih yang dimaksud dgn cawe2 ? Presiden mengatakan, saya akan cawe2 karena Pemilu penting utk kepentingan bangsa ini. Sementara ada kegaduhan di MK, Jkw bilang Presiden gak cawe2 krn akan konflik kepentingan. Dari narasi diatas, kita bisa lihat 'kepribadian ganda' yaitu jkw & presiden.",positive
Hanya Anies yg sangat layak memimpin Perobahan,negative
Jgn sampe negri ini jatuh lgi di Tangan org yg tdk BERMORAL BEJAD bangga&Hoby Film2 porno memalukan menjijikkan Hina ancur negri ini,negative
Dari MK titik kehancuran dan kebencian terhadap Jokowi,negative
Ternyata benar  Firaun bangkit ditubuh jokowi ,negative
sdh cukup selama 10th negri ini Amburadul di Hukum Economi Korup Janji2 Berbohong jdi Hoby Utang&Ngutan jdi Budak Kacung cina2 komunis oligarki,negative
Keenakan jadi presiden hukum negara diobok2 ,negative
Mahkamah memalukan...  cuih...,positive
Dwmokrkra  lagi di rusak dan si acak olwh oknun oknum di reIm in dan kroni kroninnya  yg di  dukung oligarki aswng  cukong  mafia 9 naga konglomerat  .sekeneeio  lewat  salah satu oknum MK. IPARNYA INI  jelas  jelas  untuk  mwlancarkan DINASTI KEKUASAAN DAN DINASTI POLITIK  HANYA KWPWNTINGAN KELUARGA DAN GOLONGANNYA  SWAKAN DI PAKSAKAN  .KARENA  ASH  MIYRA  ASWNG CAINA  .Intinnya  semua rakyat  dan umat islqm mayoritas  jangan memilih  owmimlin hasil cawe cawe  . dan hasil kepalsuan  jangan teeulang yg ke 3kalinnya negei ini lagi si eusak oknum pwnguaaa yg dholim. dan warga NU.  harus sadar  swmi anak cucu ke dwpan jangan samp ai  martabat  ialam si  ijak ijnjak UMAT ILAM MAYORITA dan umat beragama dan rakyat dinpecah belah oleh oknum dekat pusat kekuasaan. oknum tak ksnal pancasila dan uud 45  dan p4.  Pwndidikan moral pancasilannya   tidak di pake  ( PMP) kekayaannalam nwgri di rampok  olwh oknum  nwgei swnsiri  oknum yudikarip exsekurip legialatip.  Koeuosi jamaah   dari  para oknum mentri  dari elite politik .kekayaa n alqm tambang emas.batu bara.nikel .tambang  pertamina di ilegal kiruosi  buron  HARUN MASIKU. entah kemqn. Itu semua  oknum oknum  untuk  kepwntingqn  golongan dan cs ca  nya..rakyat di jajah oleh  oknum negri sendiri. Rakyat  belum bisa  menikmati kemwrdekaan. Kebjjakqn yg di buat oleh oknum swkwlilinggya  kwbijakqn uu tak pro rakyat.hanya sepihak ke aseng cukong mafia konglomerat.oligarki.hanya satu  perubahqn rakyat bersatu untuk mwngalahkan  kwkuasan yg sholim.dan umat islam dan umat beragama  dan warga NU mayoritas.kalo si biarkan  kita semua berdosa. Maka cari pemimpinyg amanah dan jujur dan pro ke pada rakyat.yg mengutamakan keadilan  yg setara  di atas kepwntingan  rakyst.rakyat  harus  verdas dan  cermat jangan sampai  teeulamg Hu 3kalinua .keaikan  bbm dan  kebutuhan umum. Untuk rakyat.menjadi korban,positive
Hukuman ketua MK di akhirat sangat berat karena telah mendolimi sebagian besar rakyat Indonesia,negative
joko mumet,negative
"Jadilah hakim yg adil, jangan krn satu putusan mu anda kejegur ke neraka selamanya.",positive
Apakah kita sebagai rakyat infonesia hanya diam melihat negara di buat mainan utk kepentingan jokowi dan klompoknya yg membahayakan negara dan bangsa ini.,negative
Wakanda forever,positive
Akhrinya smua nampak jelas stlah 10thn dgan pencitraan nya dna trima aksih pak rocky gerung atas analisa obyektifnya lima tahun lalu sdh sadar akan hal ini,negative
"UU yg di buat rezim jokowi hampir semua bermasalah, Yg semuanya di buat utk kepentingan politik.",negative
coba nanti diuji ketika sang ayah tdk jadi presiden lagi apakah gibran bisa masih bisa melaju karir politiknya.,negative
"Rezim jokowi ini paling buruk dalam menjalankan pemerintahan negara ini, hukum dibuat mainan sesuai seleranya.",positive
"Gelagat karakter buruk anak-anak ini sudah tampak saat Kaesang gak ada adab..... Ghosting..... Ibu dan abang (kokonya) Felicia dimaki-maki dihujat pengagum die-hard @jokowi padahal sang bunda hanya memohon putrinya diputus baik-baik, bukan DILEPEH..... Untuk etnis bermarga seperti Tionghoa atau Batak, yang dilakukan Kaesang dan keluarganya adalah penghinaan berat..... Kalo mau pisah, ngomong ..... Kalo gak berani ngomong lisan, bisa via WA, email,....  Ini malah memblokir semua komunikasi termasuk diblokir Kahiyang dan Selvi. ...... Padahal Felicia diajak hadir nikahan Kahiyang..... disuruh pake kebaya jawa, dipamerkan ke publik...... Meski tidak jodoh, kan bisa pamit baik-baik, bukan DILEPEH....... Gibran gagal mendidik adik-adiknya, bisa-bisanya kepikiran jadi wapres..... ‍‍‍ ......",negative
"Cawe2 yg menggerus popularitas JKw. Akhirnya nanti kelak anak2nya gak kepake klo bpknya lengser, kasian deh",positive
"Pak jokowi rakyat cuman di jadikan selogan, pada hakejkatnya rajyat skrang susuh apa apa mahal ga punyaa harapan, cari kerja susah banyak masyrakat terbelilit utang.",negative
"Negeri konoha ini sdh dibeli oleh oligarki, apapun uu atau keputussn yg dibuat oleh pemerintah konoha harus menguntungkan oligarki. Yg akan jadi pres dan pejabat lainnya harus sesuai selera oligarki.",negative
"Setuju ,",positive
Ini namanya Politik Dinasti selama merasa berkuasa  inilah yang terjadi. Memalukan,negative
"MAHKAMA KELUARGA, MAKIN KENTARA, MUSUH KEADILAN,....selanjutnya terserah anda...",negative
"Ini adalah contoh yang nyata katanya tidak konflik of interest ??? Nyatanya hakim Mahkamah Keluarga menyusup masuk di saat sidang terakhir, seperti inilah juga Mahfud MD jadi sebaiknya Mahfud MD mengundurkan diri dari Menteri Menkopolhukum sy pastikan akan ada konflik of interest lambat atau cepat, dan ini mengindikasikan bahwa Mahfud MD sangat rakus dgn jabatan....",positive
"Kami rakyat Indonesia  menyerukan untuk memerangi politik dinasti yg ada di Indonesia, ayo rakyat Indonesia  hancurkan politik dinasty dan pemerintahan dinasty di 2024 .",positive
"Halah...protes doang, cobalah berjuang kalo mau menang",negative
"Hampir semuua gerak girik, perbuatan oerbuatan dan pemikiran p jokowi semua karna manusia bukan du sandsrkan pd tuhannya, beda dg gus dur beluo betbuat baik untuk manusia tapi karna tuhanya, dg bahasa lain ambisi kekusaan rakus bukannya taoi rampas hak orang lain.",negative
Berlaku untuk 2024  dadakan banget,negative
Dinasti stanting sdh habis & dikutuk oleh rakyat,negative
"Coba kita perhatikan setelah ini, pemilu di laksanakan dan jargon jargon dari Jkw kalah, terus mengajukan gugatan ke MK karena kekalahan di pilpres, apakah MK juga mau independen    ?  kita tunggu babak selanjutnya mari kita ikuti selanjutnya",positive
Kematangan jiwa seseorang itu di mulai umur 40,negative
"Capabilitas, acceptabilitas dan integritas...tdk dipunyai oleh Gibrannn...rupanya orang di Partai Solidaritas itu otaknya ngg ada....",negative
Saya fikir seorang najwa shihab berintegritas tinggi. Dg pengetahuan jurnalis dan kejujurannya mbak nana harus menyelamatkan bangsa ini kedepan dg mengambil tindakan. Semoga mbak nana sehat. AMIN….,negative
Anwar Usman  otak anda taro dmna....atas bawah,positive
"Jokowi sebagai kepala negara adalah yg paling bertanggung jawab thd negri ini. Masih ada yg gagal faham, masih ada yg ingin menegakkan benang yg basah? Masih ada yg seneng jilat pantat rezim korup Busuuuuuuk pengkhianat dzalim sampe basah kuyup.",negative
Suka atau tdk amar putusan MK sdh final & binding. Yg hrs diikuti adlh amar putusan...kita hrs hormati MK.,negative
"apk. nt berikutnya diletakkan "" kuda2 kuat "" di posisi strategis lainnya ( ketua MPR, DPR, dll ) u/ menguatkan keberadaan "" X "" sblm, slama, ssdh nya ( mulai dr pencalonan, p pertanggungung jwb an purna tgs nya ) ?",negative
Mbk nana nnti ikut partai mana yo ?,positive
BUKAN PALU HAKIM YANG PATAH BERKEPING KEPING TAPI HATI NURANI DAN AKAL SEHAT YANG HANCUR BERKEPING KEPING KARENA MAHKAMAH KELUARGA. ITULAH YANG HARUS DIPERTANGGUNG JAWABKAN NYA OLEH ANWAR USMAN DIHADAPAN ALLAH SWT.,positive
Mana para pakar HUKUM mana MAHASISWA kok diam ayo dong mana suara mu mana AKSIMU ....mana mana manaaaa....,positive
Kacau hidup di negeri Sontoloyo......ini,positive
"Rezim terbobrok sepanjang sejarah Indonesia, menjijikkan, tak punya malu.",negative
"apk. munkin putusan aturan tsb. mmg "" situasional u/ kepentingan klp nya "" pd periode 2024 & berikut nya krn balon nya sdh disiapkan ?",negative
"Palu hakim MK patah, seret itu anwar usman!!!",negative
sayang sekali 10 tahun bekerja. yg diinget cawe2 nya,negative
"Presidential Threshold tolong lah itu diilangin, selama masih ada itu sampai kapan pun mreka bakal jadi wakil partai. Kasihan lah pada masa depan kami ",positive
"Bohong lah ,kalau si jokowi nggak tau. Orang ipar jokowi kok ,maksud si joko biar anak nya biar wakil presiden . Si joko nggak tau terimakasih,tapi kalau di tanya kelurga jokowi pura pura bego ,tau tau nya licik.",positive
Jokowi diakui atau tidak dikader PDIP ..dari belum jadi apa2 jadi walikota hingga jadi presiden ..jika jokowi masuk partai lain bisa di pastikan gak jadi apa2 ..apalagi jokowi masuk gerindra bisa  di pastikan jokowi jadi jongos prabowo ...prabowo menang atau kalahkeluarga jokiwi di pastikan di cap sebagai pengkhianat jika jokowi berpihak pd prabowo ..ini di mulai dari PSI partai kaesang yg acap kali menyerang PDIP dan megawati....ini bagiandari strategi prabowo mrmecah kekuatan PDIP dan partai pendukung Ganjar ..semoga jokowi sadar dan tahu diti   dan semoga prabowo gagal jadi presiden dan menerima hukuman yg setimpal atas perbuatanya menculik dan menghilangkan nyawa orang ....,negative
Ee wjh e mirip Arya Saloka,positive
"Hancur berkeping keping palsu hakim konstitusi gara gara satu orang, reformasi hukum kembali ke titik nol",positive
"Hanya orang2 yg mau berfikir yg bisa melihat kekonyolan yg sudah dilakukan penguasa. Para fans boy Jokowi menganggap apa yg sudah dilakukan junjungannya adalah konstitusional, konstitusional ndhasmu...!!!",positive
Akal maling yang di pakai dalam keputusan di MK,negative
"Ya seperti itulah kalau orang tua terlalu ambisius, anak masih bau kencur, sudah dikarbit mau jadi pemimpin. Sudah ada contohnya kan, tuhhh si mercy akhirnya kandas ditengah jalan, lontang-lantung gak jelas, udah gitu aja bisa2nya ingin memaksakan diri lagi. Sekarang malah masuk koalisi yang gak jelas. ",negative
Putusan MK ttg umur Cawapres merupakan pintu masuk MK untuk mengalahkan kandidat Capres yg menang terutama Kemenangan Anies di pilpres nanti .MK sangat berbahaya.dan sangat berbahaya.,negative
Kesimpulannya HUKUM di Indonesia bisa dipesan,positive
"Assalamu'alaikum wr. wb. Maaf bu najwa, Ada sesuatu hal yang tidak di sadari bahkan saya sebelumnya tidak sadar, tapi masih perkiraan juga hehehe",negative
DUNIA INI PANGGUNG SANDIWARA HANYA KESERAKAHAN...DAN KEJAHATAN YG DIKEJAR....MALU SEKALI JADINYA,negative
Putusan MK karena Tempek,negative
"Kemarin di jogja denger obrolan bapak2 di burjo yang dulu dukung Jokowi. Karena putusan MK  yang tadinya dukung Prabowo karena Jokowi dianggap mendukung malah pada dukung ganjar dan anies. Yg dukung ganjar karena sesama Jawa,   terus 1 orang dari 5 bapak2 itu dukung Anies krn ada NU nya di situ dan meyakini keduanya taat beragama. Ya ini kan di burjo ya...",negative
"Gak usah sok kaget,,,dri dulu dan sampe kapanpun yg nama nya politik ya intrik picik licik,,,negara dikuasai parpol,barang siapa yg ikut organisasi parpol niscaya ia kebagian kue&cepet kaya,,,yg gak ikutan politik cmn bsa nelen ludah",negative
Dengan peristiwa MK generasi muda perlu tahu bahwa mencapai kekuasaan itu tidak boleh merusak hukum. Belajarlah politik semasa muda. Jdlah aktivis sjk muda. shg tdk salah tafsir bhw politik itu hny sekedar jalan ninja,negative
Ga aneh lah... kn kroni2 semua,positive
kok terkesan SOK2 Kritik y.. pdhl 2019 ud byk pihak mengingatkan ... tp tetap aj di pilih termasuk mbk nana see.... liat aj dan nikmatin hasilnya klo g terima jgn sok2 kritik perbaiki pilihan 2024,negative
"Kalo seadainya jokowi memang ada terlibat dalam putusan MK ini, yang berarti membuat MK jadi tidak berintegritas dalam putusan, apakah salah kalo berfikir jokowi juga akan menghalalkan segala cara agar putranya bisa menang. Ada baik nya Hakim MK segera diganti dari orang2 yang bebas konflik interest orang2/ partai perserta pillres. Sebab seandainya Prabowo Gibran menang, dan ada  tuntutan setelah pemilihan maka akan dijadapkan lagi dengan hakim MK yang sama, hakim MK yang melolos usia pilpres. Akan sulit percaya pada putusan walaupun sebenarnya jujur, sebab dari awal Hakim MK nya sudah setuju merubah konstitusi usia 35 bisa nyapres.",positive
Najwa telat.. Udah gak rame lagi beritanya,negative
Lalu kita bisa berbuat apa???,positive
"Mereka ituu target nya memang harus menang, kalo ganjar kalah masih ada plan ke 2 prabowo.. begitu takutnyaaa",negative
Kenapa nggak di impeached aja sih president kek gini ?? Dulu thn 98 bisa tuh rakyat impeached pak Suharto,negative
Nggak cawe cawe?  Siapa Sutradara yang mengorkestrasi Relawan cawe cawe ke parpol megajukan Gibran Cawapres?,positive
Saya berharap mbak Nana memberikan tayangan yg bermutu buat rakyat Indonesia dengan menampilkan nara sumber yg fair.,negative
"Mas arifin kenapa proses ini tdk lewat dpr dan pemerintah? Anggap sudut pandang lewat MK dan jokowi tdk ada permintaan ini saja tetap anda kaitkan sbg permintaan terselubung. Saya kira anda sangat tdk bijaksana hanya memandang dr sudut pndg menjatuhkan jokowi, malah nambahi issue payah gibran di solo adalah permintaan jokowi, jelas anda bermaksud menjatuhkan nama jokowi. Gibran sdh jelas walikota pilihan rakyat solo dgn kemenangan mutlak. Napa AHY ga menang padahal sama2 anak presiden??? Berikan rakyat ilmu politik yg benar dan tidak menyesatkan buat masa depan Indonesia",negative
